id	admitted_17	elapsed_17_s	reason_17	admitted_60	elapsed_60_s	reason_60
TwoCountersDisButA2.ltl	no	0.857687	budget_exhausted	no	1.014230	budget_exhausted
TwoCountersDisButA3.ltl	no	0.858586	budget_exhausted	no	1.007432	budget_exhausted
TwoCountersDisButA4.ltl	no	0.857079	budget_exhausted	no	1.008720	budget_exhausted
TwoCountersDisButA5.ltl	no	0.858765	budget_exhausted	no	1.009521	budget_exhausted
TwoCountersDisButA6.ltl	no	0.859517	budget_exhausted	no	1.009551	budget_exhausted
TwoCountersDisButA7.ltl	no	0.858081	budget_exhausted	no	1.014480	budget_exhausted
TwoCountersDisButA8.ltl	no	0.858775	budget_exhausted	no	1.007699	budget_exhausted
TwoCountersDisButA9.ltl	no	0.858460	budget_exhausted	no	1.009207	budget_exhausted
TwoCountersDisButAC.ltl	no	0.859532	budget_exhausted	no	1.009039	budget_exhausted
TwoCountersGui.ltl	no	0.858707	budget_exhausted	no	1.016273	budget_exhausted
TwoCountersInRange.ltl	yes	0.152422		yes	0.151310	
TwoCountersInRangeA1.ltl	yes	0.296718		yes	0.293776	
TwoCountersInRangeA2.ltl	yes	0.703655		yes	0.679635	
TwoCountersInRangeA3.ltl	yes	0.757828		yes	0.742123	
TwoCountersInRangeA4.ltl	yes	0.840934		yes	0.855623	
TwoCountersInRangeA5.ltl	no	0.855393	budget_exhausted	yes	0.972249	
TwoCountersInRangeM0.ltl	yes	0.607162		yes	0.609764	
TwoCountersInRangeM1.ltl	yes	0.593839		yes	0.593053	
TwoCountersInRangeM2.ltl	no	0.852971	budget_exhausted	yes	0.974920	
TwoCountersInRangeM3.ltl	no	0.853829	budget_exhausted	yes	0.972939	
TwoCountersInRangeM4.ltl	no	0.854606	budget_exhausted	yes	0.971918	
TwoCountersRefined.ltl	yes	0.095496		yes	0.091704	
TwoCountersRefinedRefined.ltl	yes	0.094482		yes	0.101704	
UnderapproxDemo2.ltl	yes	0.071333		yes	0.069108	
UnderapproxStrengthenedDemo.ltl	yes	0.072835		yes	0.070772	
Warnlight_2d1010f8.ltl	no	0.093175	unsupported_or_failed	no	0.101558	unsupported_or_failed
Warnlight_a50cadd7.ltl	yes	0.070947		yes	0.066429	
Window2Min_88c5c1c3.ltl	yes	0.066477		yes	0.072697	
Window2_54e1f7d2.ltl	yes	0.074032		yes	0.070929	
Window2_6479ef9a.ltl	no	0.578094	unsupported_or_failed	no	0.591895	unsupported_or_failed
Window2_9cac58d3.ltl	yes	0.066538		yes	0.073870	
Window2_aeb1d897.ltl	no	0.695847	unsupported_or_failed	no	0.801919	unsupported_or_failed
Window2_f1477cc5.ltl	no	0.692251	unsupported_or_failed	no	0.757214	unsupported_or_failed
WindowMin_a5f99bc6.ltl	no	0.071860	unsupported_or_failed	no	0.065843	unsupported_or_failed
Window_235467da.ltl	no	0.200521	unsupported_or_failed	no	0.187167	unsupported_or_failed
Window_42dc4fff.ltl	no	0.195767	unsupported_or_failed	no	0.194773	unsupported_or_failed
Window_54e1f7d2.ltl	no	0.110461	unsupported_or_failed	no	0.118697	unsupported_or_failed
Zoo0.ltl	yes	0.078740		yes	0.079872	
Zoo10.ltl	yes	0.076638		yes	0.076057	
Zoo5.ltl	yes	0.076012		yes	0.079348	
abcg_arbiter_pb_1_pe_.ltl	yes	0.067381		yes	0.068101	
abcg_arbiter_pb_2_pe_.ltl	yes	0.077107		yes	0.077350	
abcg_arbiter_pb_3_pe_.ltl	yes	0.077034		yes	0.076476	
abcg_arbiter_pb_4_pe_.ltl	yes	0.080105		yes	0.079416	
abcg_arbiter_pb_5_pe_.ltl	yes	0.081482		yes	0.084145	
abcg_arbiter_pb_6_pe_.ltl	yes	0.085352		yes	0.086750	
amba_case_study_pb_2_pe_.ltl	yes	0.088158		yes	0.080724	
amba_case_study_pb_3_pe_.ltl	yes	0.092747		yes	0.092702	
amba_case_study_pb_4_pe_.ltl	yes	0.098727		yes	0.096686	
