index	instance	family_key	label	build	expected	result	seconds	fallback_logged
328	robot-to-target-charging4.ltl	direct:tlsf/sweap:robot-to-target-charging	sparse-unreal-formula	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	3.781159324978944	False
329	robot-to-target-charging4.ltl	direct:tlsf/sweap:robot-to-target-charging	main-forward-unreal-automaton	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.05296445003478	False
330	robot-to-target-charging4.ltl	direct:tlsf/sweap:robot-to-target-charging	sparse-unreal-automaton	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	3.730485470034182	False
331	robot-to-target-charging5.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_sparse_automaton-race	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	6.975437544984743	False
332	robot-to-target-charging5.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_sparse_formula-race	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	6.859050680010114	False
333	robot-to-target-charging5.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_mix_formula_lazy-race	otf_mix_formula_lazy	UNREALIZABLE	UNREALIZABLE	6.665190703002736	False
334	robot-to-target-charging5.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_mix_formula_eager-race	otf_mix_formula_eager	UNREALIZABLE	UNREALIZABLE	6.896120578050613	False
335	robot-to-target-charging5.ltl	direct:tlsf/sweap:robot-to-target-charging	main-forward-unreal-formula	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.052684606984258	False
336	robot-to-target-charging5.ltl	direct:tlsf/sweap:robot-to-target-charging	sparse-unreal-formula	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	4.456375153036788	False
337	robot-to-target-charging5.ltl	direct:tlsf/sweap:robot-to-target-charging	main-forward-unreal-automaton	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.0530626650434	False
338	robot-to-target-charging5.ltl	direct:tlsf/sweap:robot-to-target-charging	sparse-unreal-automaton	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	4.363973763014656	False
339	robot-to-target-charging6.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_sparse_automaton-race	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	7.111828099004924	False
340	robot-to-target-charging6.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_sparse_formula-race	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	7.60308733698912	False
341	robot-to-target-charging6.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_mix_formula_lazy-race	otf_mix_formula_lazy	UNREALIZABLE	UNREALIZABLE	7.143567078048363	False
342	robot-to-target-charging6.ltl	direct:tlsf/sweap:robot-to-target-charging	otf_mix_formula_eager-race	otf_mix_formula_eager	UNREALIZABLE	UNREALIZABLE	7.32558002701262	False
343	robot-to-target-charging6.ltl	direct:tlsf/sweap:robot-to-target-charging	main-forward-unreal-formula	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.052866173035	False
344	robot-to-target-charging6.ltl	direct:tlsf/sweap:robot-to-target-charging	sparse-unreal-formula	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	4.647011541004758	False
345	robot-to-target-charging6.ltl	direct:tlsf/sweap:robot-to-target-charging	main-forward-unreal-automaton	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.053299318009522	False
346	robot-to-target-charging6.ltl	direct:tlsf/sweap:robot-to-target-charging	sparse-unreal-automaton	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	4.547552260977682	False
