pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,Error,Expected_result
485263326,LTL-Real/amba_decomposed_lock_10.tlsf,9158542,ltlsynt realizability,29005,seqrealsd,359218,complete,718.732,718.801,4226428.0,REALIZABLE,-,realizable
485263327,LTL-Real/amba_decomposed_lock_10.tlsf,9158542,ltlsynt realizability,29005,seqrealds,359219,complete,701.806,701.897,4226428.0,REALIZABLE,-,realizable
485263328,LTL-Real/amba_decomposed_lock_10.tlsf,9158542,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,complete,11.1823,11.1656,594236.0,REALIZABLE,-,realizable
485263329,LTL-Real/amba_decomposed_lock_10.tlsf,9158542,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,complete,10.7765,10.767,596284.0,REALIZABLE,-,realizable
485263330,LTL-Real/amba_decomposed_lock_10.tlsf,9158542,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,complete,10.8434,10.8506,577844.0,REALIZABLE,-,realizable
485263331,LTL-Real/amba_decomposed_lock_10.tlsf,9158542,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,complete,11.1362,11.1372,606516.0,REALIZABLE,-,realizable
485263913,LTL-Real/amba_decomposed_lock_12.tlsf,9158626,ltlsynt realizability,29005,seqreallar,359217,timeout (cpu),3600.03,3600.39,2.701666E7,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485263914,LTL-Real/amba_decomposed_lock_12.tlsf,9158626,ltlsynt realizability,29005,seqrealsd,359218,timeout (cpu),3600.02,3600.58,2.701666E7,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485263915,LTL-Real/amba_decomposed_lock_12.tlsf,9158626,ltlsynt realizability,29005,seqrealds,359219,timeout (cpu),3600.04,3600.8,2.701666E7,--,Found neither REALIZABLE nor UNREALIZABLE,realizable
485263916,LTL-Real/amba_decomposed_lock_12.tlsf,9158626,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,complete,175.726,175.703,708324.0,REALIZABLE,-,realizable
485263917,LTL-Real/amba_decomposed_lock_12.tlsf,9158626,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,complete,170.663,170.662,711396.0,REALIZABLE,-,realizable
485263918,LTL-Real/amba_decomposed_lock_12.tlsf,9158626,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,complete,170.369,170.368,699508.0,REALIZABLE,-,realizable
485263919,LTL-Real/amba_decomposed_lock_12.tlsf,9158626,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,complete,175.798,175.803,703848.0,REALIZABLE,-,realizable
485263962,LTL-Real/amba_decomposed_lock_2.tlsf,9158633,ltlsynt realizability,29005,seqreallar,359217,complete,0.052884,0.052619,113188.0,REALIZABLE,-,realizable
485263963,LTL-Real/amba_decomposed_lock_2.tlsf,9158633,ltlsynt realizability,29005,seqrealsd,359218,complete,0.054004,0.0537679,113188.0,REALIZABLE,-,realizable
485263964,LTL-Real/amba_decomposed_lock_2.tlsf,9158633,ltlsynt realizability,29005,seqrealds,359219,complete,0.054084,0.0538501,113188.0,REALIZABLE,-,realizable
485263965,LTL-Real/amba_decomposed_lock_2.tlsf,9158633,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,complete,0.106821,0.10931,113188.0,REALIZABLE,-,realizable
485263966,LTL-Real/amba_decomposed_lock_2.tlsf,9158633,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,complete,0.108929,0.110236,113188.0,REALIZABLE,-,realizable
485263967,LTL-Real/amba_decomposed_lock_2.tlsf,9158633,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,complete,0.107468,0.108399,113188.0,REALIZABLE,-,realizable
485263968,LTL-Real/amba_decomposed_lock_2.tlsf,9158633,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,complete,0.106417,0.107259,113188.0,REALIZABLE,-,realizable
485263269,LTL-Real/amba_decomposed_lock_4.tlsf,9158534,ltlsynt realizability,29005,seqreallar,359217,complete,0.066246,0.066085,113188.0,REALIZABLE,-,realizable
485263270,LTL-Real/amba_decomposed_lock_4.tlsf,9158534,ltlsynt realizability,29005,seqrealsd,359218,complete,0.066634,0.0664369,113188.0,REALIZABLE,-,realizable
