family_key	solved_instance	solved_params_json	solved_seconds	unsolved_instance	unsolved_params_json	unsolved_failure	pair_kind	l1_distance
param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal1.tlsf	full_arbiter_unreal1_pb_2_8_pe_.ltl	"{""n"":2,""u"":8}"	0.023844068055041134	full_arbiter_unreal1_pb_3_8_pe_.ltl	"{""n"":3,""u"":8}"	TIMEOUT	cover	0.25
param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal1.tlsf	full_arbiter_unreal1_pb_3_7_pe_.ltl	"{""n"":3,""u"":7}"	9.15032415103633	full_arbiter_unreal1_pb_3_8_pe_.ltl	"{""n"":3,""u"":8}"	TIMEOUT	cover	0.04
param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal1.tlsf	full_arbiter_unreal1_pb_2_9_pe_.ltl	"{""n"":2,""u"":9}"	0.03732861496973783	full_arbiter_unreal1_pb_3_9_pe_.ltl	"{""n"":3,""u"":9}"	TIMEOUT	cover	0.25
param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal1.tlsf	full_arbiter_unreal1_pb_3_6_pe_.ltl	"{""n"":3,""u"":6}"	1.3740547569468617	full_arbiter_unreal1_pb_4_6_pe_.ltl	"{""n"":4,""u"":6}"	TIMEOUT	cover	0.25
param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal1.tlsf	full_arbiter_unreal1_pb_4_5_pe_.ltl	"{""n"":4,""u"":5}"	53.304735154961236	full_arbiter_unreal1_pb_4_6_pe_.ltl	"{""n"":4,""u"":6}"	TIMEOUT	cover	0.04
param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal1.tlsf	full_arbiter_unreal1_pb_3_7_pe_.ltl	"{""n"":3,""u"":7}"	9.15032415103633	full_arbiter_unreal1_pb_4_7_pe_.ltl	"{""n"":4,""u"":7}"	TIMEOUT	cover	0.25
param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal2.tlsf	full_arbiter_unreal2_pb_4_pe_.ltl	"{""n"":4}"	4.799529746058397	full_arbiter_unreal2_pb_5_pe_.ltl	"{""n"":5}"	TIMEOUT	cover	0.2
param:tlsf/generalized_buffer/parametric/generalized_buffer.tlsf	generalized_buffer_pb_4_pe_.ltl	"{""n"":4}"	11.897390626952983	generalized_buffer_pb_5_pe_.ltl	"{""n"":5}"	TIMEOUT	cover	0.25
param:tlsf/lift/parametric/lift.tlsf	lift_pb_3_pe_.ltl	"{""n"":3}"	0.1530895009636879	lift_pb_4_pe_.ltl	"{""n"":4}"	TIMEOUT	cover	0.125
param:tlsf/lift/parametric/lift_gr1+.tlsf	lift_gr1+_pb_2_pe_.ltl	"{""n"":2}"	0.039298087009228766	lift_gr1+_pb_3_pe_.ltl	"{""n"":3}"	TIMEOUT	cover	0.1428571428571428571428571429
param:tlsf/lift/parametric/lift_gr1.tlsf	lift_gr1_pb_2_pe_.ltl	"{""n"":2}"	0.025112343952059746	lift_gr1_pb_3_pe_.ltl	"{""n"":3}"	TIMEOUT	cover	0.125
